id,name,glosses,examples
bn:02213915n,Cheap_Records,"Cheap Records is a record label founded 1993 in Vienna, Austria by Patrick Pulsinger and Erdem Tunakan.;Austrian record label for electronic music;",
bn:00099012a,bum,"Of very poor quality; flimsy;Of very poor quality; flimsy;Of very poor quality.;Cheap, of poor quality.;Cheap.;",
bn:00098825a,brassy,Tastelessly showy;Tastelessly showy;Tastelessly gaudy; superficially attractive but having in reality no value or substance; falsely alluring.;Tastelessly gaudy.;,A flash car;A flashy ring;Garish colors;A gaudy costume;Loud sport shirts;A meretricious yet stylish book;Tawdry ornaments;A flash car;A flashy ring;Garish colors;A gaudy costume;Loud sport shirts;A meretricious yet stylish book;Tawdry ornaments;
bn:00503376n,Cheap_(ward),Cheap is a small ward in the City of London.;Ward of the City of London;,
bn:00463077n,Cheap_(album),Cheap is the debut album from Seasick Steve.;Debut album from Seasick Steve;,
bn:13709554v,cheap,To sell.;,
bn:13709553v,cheap,To buy; purchase.;,
bn:00099558a,cheap,"Embarrassingly stingy;Embarrassingly stingy;Excessively reluctant to spend; miserly, stingy.;",
bn:00099557a,cheap,Relatively low in price or charging low prices;Relatively low in price or charging low prices;Low in price.;,It would have been cheap at twice the price;Inexpensive family restaurants;It would have been cheap at twice the price;Inexpensive family restaurants;
bn:13709552v,cheap,To bargain for; chaffer for; ask the price of; offer a price for; cheapen.;,
bn:13709551v,cheap,To trade; traffic; bargain; chaffer; ask the price of goods; cheapen goods.;,
